left,right,match,prompt,completion,pred_ditto_new_wdc_small,pred_ditto_new_wdc_medium,pred_ditto_new_wdc_large
"title: Seagate LaCie 4TB 2.5' USB 3 to USB-C Diamond Cut External HDD. STHG4000400. 2 Years Warranty 
description: Sleek Design. Lavish Space. Like an airy loft or vast landscape, LaCie Mobile Drive articulates the beauty and importance of premium space. With up to 5 TB of capacity, thereÃ¢ÂÂs room for photos, playlists, docs and more. And with MacÃÂ®, WindowsÃÂ®, USB-C, and USB 3.0 compatibility, access is easy. One-click or automatic backup makes file storage smooth, and our 30th anniversary diamond-cut design has an edge like no other. An Ultra Compatible, Ultra Portable Hard Drive. Use LaCie Mobile Drive with both Mac and Windows out of the box. No need to reformat. Reversible USB-C cable for ultra-fast transfers with USB 3.1 Gen2 or ThunderboltÃ¢ÂÂ¢ 3 computers. USB 3.0 to USB-C cable for legacy laptops. 
price: 219.00 
priceCurrency: AUD","brand: SRAM 
title: SRAM Sram PowerLink 9 sp 
description: Sram PowerLink 9 sp 
price: 4.95 
priceCurrency: CAD",False,"title: Seagate LaCie 4TB 2.5' USB 3 to USB-C Diamond Cut External HDD. STHG4000400. 2 Years Warranty 
description: Sleek Design. Lavish Space. Like an airy loft or vast landscape, LaCie Mobile Drive articulates the beauty and importance of premium space. With up to 5 TB of capacity, thereÃ¢ÂÂs room for photos, playlists, docs and more. And with MacÃÂ®, WindowsÃÂ®, USB-C, and USB 3.0 compatibility, access is easy. One-click or automatic backup makes file storage smooth, and our 30th anniversary diamond-cut design has an edge like no other. An Ultra Compatible, Ultra Portable Hard Drive. Use LaCie Mobile Drive with both Mac and Windows out of the box. No need to reformat. Reversible USB-C cable for ultra-fast transfers with USB 3.1 Gen2 or ThunderboltÃ¢ÂÂ¢ 3 computers. USB 3.0 to USB-C cable for legacy laptops. 
price: 219.00 
priceCurrency: AUD

###

brand: SRAM 
title: SRAM Sram PowerLink 9 sp 
description: Sram PowerLink 9 sp 
price: 4.95 
priceCurrency: CAD

###

Same product?", no,False,False,False
"title: SRAM HRD Level TLM/Ultimate Brake Pads 
description: DescriptionGenuine replacement pads for Sram brakes. 
price: 34.95 
priceCurrency: AUD","brand: Default Manufacturer 
title: Victron MultiPlus Compact Inverter Charger 12V/2000VA/80A 
description: The MultiPlus, as the name suggests, is a combined inverter and charger in one elegant package. Its many features include a true sine wave inverter, adaptive charging, hybrid PowerAssist technology, plus multiple system integration features. 
price: 1089.00 
priceCurrency: GBP",False,"title: SRAM HRD Level TLM/Ultimate Brake Pads 
description: DescriptionGenuine replacement pads for Sram brakes. 
price: 34.95 
priceCurrency: AUD

###

brand: Default Manufacturer 
title: Victron MultiPlus Compact Inverter Charger 12V/2000VA/80A 
description: The MultiPlus, as the name suggests, is a combined inverter and charger in one elegant package. Its many features include a true sine wave inverter, adaptive charging, hybrid PowerAssist technology, plus multiple system integration features. 
price: 1089.00 
priceCurrency: GBP

###

Same product?", no,False,False,False
"title: Shimano SPD SM-SH11 yellow cleat set 
description: The pair of Shimano SPD SM-SH11 cleats is designed for road shoes. 
price: 18.16 
priceCurrency: EUR","brand: Canon 
title: Canon *Canon Ink CL-211 - Color 
description: The new genuine Canon CL-211 Color Ink Tank delivers brighter colors with a wider range of colors that will stay vibrant, longer. 
price: 20.99 
priceCurrency: USD",False,"title: Shimano SPD SM-SH11 yellow cleat set 
description: The pair of Shimano SPD SM-SH11 cleats is designed for road shoes. 
price: 18.16 
priceCurrency: EUR

###

brand: Canon 
title: Canon *Canon Ink CL-211 - Color 
description: The new genuine Canon CL-211 Color Ink Tank delivers brighter colors with a wider range of colors that will stay vibrant, longer. 
price: 20.99 
priceCurrency: USD

###

Same product?", no,False,False,False
"brand: SanDisk 
title: SanDisk Extreme microSDHC 32GB 100/60 MB/s A1 V30 GoPro 
description: SanDisk Extreme microSDHC 32GB 100/60 MB/s A1 V30 GoPro 
price: 0","title: Cisco Catalyst 3650 48 Port Full PoE 2x10G Uplink LAN Base 
description: Cisco Catalyst 3650 48 Port Full PoE 2x10G Uplink LAN Base 
price: 0.001",False,"brand: SanDisk 
title: SanDisk Extreme microSDHC 32GB 100/60 MB/s A1 V30 GoPro 
description: SanDisk Extreme microSDHC 32GB 100/60 MB/s A1 V30 GoPro 
price: 0

###

title: Cisco Catalyst 3650 48 Port Full PoE 2x10G Uplink LAN Base 
description: Cisco Catalyst 3650 48 Port Full PoE 2x10G Uplink LAN Base 
price: 0.001

###

Same product?", no,False,False,False
"title: TP LINK JetStream 8-Port Gigabit Smart PoE+ Switch 
description: TP LINK JetStream 8-Port Gigabit Smart PoE+ Switch 
price: 139.12 
priceCurrency: GBP","brand: Netgear 
title: Netgear GS108Ev3 – ProSAFE Plus 8-Port Gigabit Switch 
description: NETGEAR ProSafe Plus GS108Ev3 - Switch - 8 x 10/100/1000 - desktop, wandbevestiging 
price: €44,39 
priceCurrency: EUR",False,"title: TP LINK JetStream 8-Port Gigabit Smart PoE+ Switch 
description: TP LINK JetStream 8-Port Gigabit Smart PoE+ Switch 
price: 139.12 
priceCurrency: GBP

###

brand: Netgear 
title: Netgear GS108Ev3 – ProSAFE Plus 8-Port Gigabit Switch 
description: NETGEAR ProSafe Plus GS108Ev3 - Switch - 8 x 10/100/1000 - desktop, wandbevestiging 
price: €44,39 
priceCurrency: EUR

###

Same product?", no,False,False,False
"title: SANDISK 32GB CZ73 ULTRA FLAIR USB3.0 FLASH DRIVE-WRTY 5YRS W/DISTRIBUTOR 
description: Warranty : 5 Years with Local Distributor - Convergent 
price: 8.50 
priceCurrency: SGD","brand: SanDisk 
title: SanDisk Ultra Dual Drive m3.0 256GB 
description: Free up space on your OTG-enabled Android smartphone and tablet with the SanDisk Ultra Dual Drive m3.0 - 256GB. The Flash drive for Android phones. 
price: 43.99 
priceCurrency: GBP",False,"title: SANDISK 32GB CZ73 ULTRA FLAIR USB3.0 FLASH DRIVE-WRTY 5YRS W/DISTRIBUTOR 
description: Warranty : 5 Years with Local Distributor - Convergent 
price: 8.50 
priceCurrency: SGD

###

brand: SanDisk 
title: SanDisk Ultra Dual Drive m3.0 256GB 
description: Free up space on your OTG-enabled Android smartphone and tablet with the SanDisk Ultra Dual Drive m3.0 - 256GB. The Flash drive for Android phones. 
price: 43.99 
priceCurrency: GBP

###

Same product?", no,False,False,False
"title: Sony FE 85mm f/1.8 Lens 
description: The perfect focal length for portraits, the Sony FE 85mm f/1.8 Lens is a sleek short-telephoto lens designed for full-frame E-mount mirrorless cameras. The bright f/1.8 maximum aperture benefits this lens's use in low-light conditions and also affords extensive control over depth of field when working with selective focus techniques. The nine elements, eight groups lens construction includes one extra-low dispersion element to minimize chromatic aberrations and color fringing for greater clarity and color accuracy. Benefitting the optical design is a simple, intuitive physical layout that incorporates a customizable focus hold button and a physical AF/MF switch. The double linear AF motor itself affords quick, quiet, and smooth focusing performance, and this motor also offers snappy manual focus performance for fine-tuned control. Finally, the lens is designed to be dust- and moisture-resistant for increased protection. Prime portrait-length lens is designed for full-frame
price: 598.00 
priceCurrency: USD","title: Sony FE 85mm F1.8 Lens 
description: An ideal portrait-length prime, theFE 85mm f/1.8fromSonyis a sleek short-telephoto lens designed for full-frame E-mount mirrorless cameras. The bright f/1.8 maximum aperture benefits this lens's use in low-light conditions and also affords extensive control over depth of field when working with selective focus techniques. The nine elements, eight groups lens construction includes one extra-low dispersion element to minimize chromatic aberrations and color fringing for greater clarity and color accuracy. Benefitting the optical design is a simple, intuitive physical layout that incorporates a customizable focus hold button and a physical AF/MF switch. The double linear AF motor itself affords quick, quiet, and smooth focusing performance, and this motor also offers snappy manual focus performance for fine-tuned control. Finally, the lens is designed to be dust- and moisture-resistant for increased protection.Prime portrait-length lens is designed for full-frame Sony E-mount
price: 5.98E2 
priceCurrency: USD",True,"title: Sony FE 85mm f/1.8 Lens 
description: The perfect focal length for portraits, the Sony FE 85mm f/1.8 Lens is a sleek short-telephoto lens designed for full-frame E-mount mirrorless cameras. The bright f/1.8 maximum aperture benefits this lens's use in low-light conditions and also affords extensive control over depth of field when working with selective focus techniques. The nine elements, eight groups lens construction includes one extra-low dispersion element to minimize chromatic aberrations and color fringing for greater clarity and color accuracy. Benefitting the optical design is a simple, intuitive physical layout that incorporates a customizable focus hold button and a physical AF/MF switch. The double linear AF motor itself affords quick, quiet, and smooth focusing performance, and this motor also offers snappy manual focus performance for fine-tuned control. Finally, the lens is designed to be dust- and moisture-resistant for increased protection. Prime portrait-length lens is designed for full-frame
price: 598.00 
priceCurrency: USD

###

title: Sony FE 85mm F1.8 Lens 
description: An ideal portrait-length prime, theFE 85mm f/1.8fromSonyis a sleek short-telephoto lens designed for full-frame E-mount mirrorless cameras. The bright f/1.8 maximum aperture benefits this lens's use in low-light conditions and also affords extensive control over depth of field when working with selective focus techniques. The nine elements, eight groups lens construction includes one extra-low dispersion element to minimize chromatic aberrations and color fringing for greater clarity and color accuracy. Benefitting the optical design is a simple, intuitive physical layout that incorporates a customizable focus hold button and a physical AF/MF switch. The double linear AF motor itself affords quick, quiet, and smooth focusing performance, and this motor also offers snappy manual focus performance for fine-tuned control. Finally, the lens is designed to be dust- and moisture-resistant for increased protection.Prime portrait-length lens is designed for full-frame Sony E-mount
price: 5.98E2 
priceCurrency: USD

###

Same product?", yes,True,True,True
"title: Omega Seamaster 300 Master Co-Axial Titanium & 18K Sedna Gold 
description: 210.60.42.20.99.001 OmegaThis watch has 42 mm grade 2 titanium case. Fixedbezel ring and helium escape valve in 18K Sedna™ gold.Titanium dial features positive sun-brushed waves, skeleton hands, raised indexes are 18K Sedna Gold and are filled with white Super-LumiNova. 2 Titanium bracelet with tantalum and 18K Sedna™ gold link. Automatic movement. Functions: date, hours, minutes, seconds. Water resistance up to 300 m./1000 ft. 210.60.42.20.99.001Omega Titanium & 18K Sedna Gold watch. 
price: 10400 
priceCurrency: USD","title: JABRA Evolve 40 UC USB - Mono 
description: The Jabra EVOLVE 40 UC Stereo is a professional headset designed to improve concentration and conversations. Premium noise-canceling technology gives you peace to work in the noisy, open office effectively creating a concentration zone around you, so you can stay focused on the job.The speakers are built for style and comfort with leatherette ear cushions, and are specifically designed to reduce office noise. The concentration zone is completed with a busy-light indicator that signals user availability to colleagues. 
price: 1267.00 
priceCurrency: ZAR",False,"title: Omega Seamaster 300 Master Co-Axial Titanium & 18K Sedna Gold 
description: 210.60.42.20.99.001 OmegaThis watch has 42 mm grade 2 titanium case. Fixedbezel ring and helium escape valve in 18K Sedna™ gold.Titanium dial features positive sun-brushed waves, skeleton hands, raised indexes are 18K Sedna Gold and are filled with white Super-LumiNova. 2 Titanium bracelet with tantalum and 18K Sedna™ gold link. Automatic movement. Functions: date, hours, minutes, seconds. Water resistance up to 300 m./1000 ft. 210.60.42.20.99.001Omega Titanium & 18K Sedna Gold watch. 
price: 10400 
priceCurrency: USD

###

title: JABRA Evolve 40 UC USB - Mono 
description: The Jabra EVOLVE 40 UC Stereo is a professional headset designed to improve concentration and conversations. Premium noise-canceling technology gives you peace to work in the noisy, open office effectively creating a concentration zone around you, so you can stay focused on the job.The speakers are built for style and comfort with leatherette ear cushions, and are specifically designed to reduce office noise. The concentration zone is completed with a busy-light indicator that signals user availability to colleagues. 
price: 1267.00 
priceCurrency: ZAR

###

Same product?", no,False,False,False
"title: Epson 79XL Magenta Ink Cartridge 
description: Epson 79XL Magenta Ink Cartridge 
price: 32.62 
priceCurrency: GBP","brand: Epson 
title: Magenta Ink for Epson Discproducer PP100 
price: 39.89 
priceCurrency: GBP",False,"title: Epson 79XL Magenta Ink Cartridge 
description: Epson 79XL Magenta Ink Cartridge 
price: 32.62 
priceCurrency: GBP

###

brand: Epson 
title: Magenta Ink for Epson Discproducer PP100 
price: 39.89 
priceCurrency: GBP

###

Same product?", no,True,False,False
"brand: Brother 
title: Brother MFC-L2710DW Mono Laser Multifunction 
description: Buy Genuine Brother MFC-L2710DW Mono Laser Multifunction at Crazy Low Price 
price: 171.72 
priceCurrency: GBP","title: Atomos Coiled Full HDMI to Full HDMI Cable (30-45cm) 
description: Atomos Coiled Full HDMI to Full HDMI Cable (30-45cm) [ATOMCAB010] - HDMI: No more worrying if your HDMI cable is going to be pulled out from your camera or device. These carefully crafted and tested cables were built for the professional industry. With slightly oversized HDMI connectors and a fully moldable cable coil these cables will withstand a pull or tug without disturbing 
price: 31.99 
priceCurrency: CAD",False,"brand: Brother 
title: Brother MFC-L2710DW Mono Laser Multifunction 
description: Buy Genuine Brother MFC-L2710DW Mono Laser Multifunction at Crazy Low Price 
price: 171.72 
priceCurrency: GBP

###

title: Atomos Coiled Full HDMI to Full HDMI Cable (30-45cm) 
description: Atomos Coiled Full HDMI to Full HDMI Cable (30-45cm) [ATOMCAB010] - HDMI: No more worrying if your HDMI cable is going to be pulled out from your camera or device. These carefully crafted and tested cables were built for the professional industry. With slightly oversized HDMI connectors and a fully moldable cable coil these cables will withstand a pull or tug without disturbing 
price: 31.99 
priceCurrency: CAD

###

Same product?", no,False,False,False
