left,right,match,prompt,completion,pred_ditto_new_wdc_small,pred_ditto_new_wdc_medium,pred_ditto_new_wdc_large
"title: JABRA - EVOLVE 40 MS Stereo USB Headband Noise cancelling USB connector with mute-button and volume control on the cord 
description: JABRA EVOLVE 40 MS Stereo USB Headband Noise cancelling USB connector with mute-button and volume control on the cord (6399-823-109) - Tyyppi: Langallinen kuulekomikrofoni 
price: 84.80 
priceCurrency: EUR","brand: Seiko 
title: Seiko Mens Prospex Automatic Monster Save The Ocean Stainless Steel Bracelet Watch SRPE09K1 
description: PROSPEX SS BW BLU DL D\\/DT 
price: 428.00 
priceCurrency: GBP",False,"title: JABRA - EVOLVE 40 MS Stereo USB Headband Noise cancelling USB connector with mute-button and volume control on the cord 
description: JABRA EVOLVE 40 MS Stereo USB Headband Noise cancelling USB connector with mute-button and volume control on the cord (6399-823-109) - Tyyppi: Langallinen kuulekomikrofoni 
price: 84.80 
priceCurrency: EUR

###

brand: Seiko 
title: Seiko Mens Prospex Automatic Monster Save The Ocean Stainless Steel Bracelet Watch SRPE09K1 
description: PROSPEX SS BW BLU DL D\\/DT 
price: 428.00 
priceCurrency: GBP

###

Same product?", no,False,False,False
"title: Autel Robotics - EVO 2 - Battery Charging Hub 
description: EVO 2Charging HubWith theEVO 2 Battery Charging HubfromAutel Robotics, you can conveniently connect up to 4 EVO batteries, and charge up to two simultaneously. Simply attach an EVO battery to each side of the charger column. The charger continually monitors the electrical data to help optimize charging, and the LED-backlit Autel \A\ on the top of the charger gives you visual indication of the charging status. Please note that this charging hub receives its power from the EVO 2 Battery Charger, which is not included.In The Box:Charging Hub 
price: 8.9E1 
priceCurrency: USD","title: Autel Robotics - EVO 2 8k Gimbal Camera 
description: 8k Camera and Gimbal replacement for Autel Robotics EVO 2 Series 
price: 5.79E2 
priceCurrency: USD",False,"title: Autel Robotics - EVO 2 - Battery Charging Hub 
description: EVO 2Charging HubWith theEVO 2 Battery Charging HubfromAutel Robotics, you can conveniently connect up to 4 EVO batteries, and charge up to two simultaneously. Simply attach an EVO battery to each side of the charger column. The charger continually monitors the electrical data to help optimize charging, and the LED-backlit Autel \A\ on the top of the charger gives you visual indication of the charging status. Please note that this charging hub receives its power from the EVO 2 Battery Charger, which is not included.In The Box:Charging Hub 
price: 8.9E1 
priceCurrency: USD

###

title: Autel Robotics - EVO 2 8k Gimbal Camera 
description: 8k Camera and Gimbal replacement for Autel Robotics EVO 2 Series 
price: 5.79E2 
priceCurrency: USD

###

Same product?", no,False,False,True
"title: Shure Beta58A Handheld Dynamic Microphone 
description: A high-output vocal microphone, the BETA 58A® features a shaped frequency response ideal for close-up vocals.Handheld microphone for professional live vocals and project studio recordingDynamic cartridge with supercardioid polar patternAvailable in wireless versionsIncludes BETA 58A, microphone clip, thread adapter, storage bag, and user guideThe Shure BETA 58A® is a high-output supercardioid dynamic vocal microphone designed for professional sound reinforcement and project studio recording. It has become a leading choice among vocalists and touring professionals worldwide.The Beta 58A maintains a true supercardioid pattern throughout its frequency range. The Beta 58A has a shaped frequency response that is ideal for close-up vocals. The superb performance of this microphone is not affected by rough handling because of its rugged construction, proven shock mount system, and hardened steel mesh grille.FeaturesFrequency response tailored for vocals, with brightened midrange 
price: 219.00 
priceCurrency: CAD","title: Shure Beta 58A Hand-Held Dynamic High-Output Pro Quality Vocal Microphone 
description: The high-output Beta 58A has a natural presence boost at 4kHz and 9kHz. This shaped frequency response is ideal for close-up vocals, really bringing out the clarity needed for cutting through a live mix. And the bass roll off really helps control proximity effect, so you have consistent performance from your mic while you focus on yours. FeaturesSuper clear live vocal dynamic microphoneFrequency response tailored for vocalsLegendary Shure quality, ruggedness, and reliabilityUniform supercardioid pickup pattern minimizes background noiseBass roll-off minimizes proximity effectEffective, built-in spherical wind and pop filterSupplied with break-resistant stand adapter which rotates 180 
price: 159.99 
priceCurrency: USD",True,"title: Shure Beta58A Handheld Dynamic Microphone 
description: A high-output vocal microphone, the BETA 58A® features a shaped frequency response ideal for close-up vocals.Handheld microphone for professional live vocals and project studio recordingDynamic cartridge with supercardioid polar patternAvailable in wireless versionsIncludes BETA 58A, microphone clip, thread adapter, storage bag, and user guideThe Shure BETA 58A® is a high-output supercardioid dynamic vocal microphone designed for professional sound reinforcement and project studio recording. It has become a leading choice among vocalists and touring professionals worldwide.The Beta 58A maintains a true supercardioid pattern throughout its frequency range. The Beta 58A has a shaped frequency response that is ideal for close-up vocals. The superb performance of this microphone is not affected by rough handling because of its rugged construction, proven shock mount system, and hardened steel mesh grille.FeaturesFrequency response tailored for vocals, with brightened midrange 
price: 219.00 
priceCurrency: CAD

###

title: Shure Beta 58A Hand-Held Dynamic High-Output Pro Quality Vocal Microphone 
description: The high-output Beta 58A has a natural presence boost at 4kHz and 9kHz. This shaped frequency response is ideal for close-up vocals, really bringing out the clarity needed for cutting through a live mix. And the bass roll off really helps control proximity effect, so you have consistent performance from your mic while you focus on yours. FeaturesSuper clear live vocal dynamic microphoneFrequency response tailored for vocalsLegendary Shure quality, ruggedness, and reliabilityUniform supercardioid pickup pattern minimizes background noiseBass roll-off minimizes proximity effectEffective, built-in spherical wind and pop filterSupplied with break-resistant stand adapter which rotates 180 
price: 159.99 
priceCurrency: USD

###

Same product?", yes,True,True,True
"brand: Sony 
title: Sony BRAVIA KDL32WE613BU 32\ HD Ready HDR LED Smart TV with Freeview HD 
description: Product InformationSony Bravia WE61 TV SeriesScreen Size: 32 LED TVDisplay Format: 720p HD Ready | HDRSmart TV - YesPorts - 2 x HDMI & 2 x USP PortsProcessor: X-Reality ProAudio: DTS Digital SurroundSpecial Features: ClearAudio+, Cinematic S-Force Front SurroundOperating System: LinuxTuner: FreeviewPlayOverviewBe online instantly with one button YouTube™Go straight to YouTube™ and enjoy all your favourite videos. We have made YouTube™ faster than ever on this internet ready TV and included a YouTube™ button on the remote control for easy browsing.34High Dynamic Range for lifelike picturesWith High Dynamic Range (HDR), detail lost in the darkest and brightest areas of a picture are preserved, giving a much more dynamic look. See the textures in the shining metal wing of the airplane and the reflections of sunlight on the fuselage.5Rediscover every detail with X-Reality™ PROX-Reality™ PRO picture processing upscales every pixel for exceptional picture clarity. As frames are 
price: 249.97 
priceCurrency: GBP","brand: Logitech 
title: Logitech Z337 Bold Sound With Bluetooth 980-001263 
description: Logitech Z337 Bold Sound With Bluetooth 980-001263 
price: 161 
priceCurrency: AUD",False,"brand: Sony 
title: Sony BRAVIA KDL32WE613BU 32\ HD Ready HDR LED Smart TV with Freeview HD 
description: Product InformationSony Bravia WE61 TV SeriesScreen Size: 32 LED TVDisplay Format: 720p HD Ready | HDRSmart TV - YesPorts - 2 x HDMI & 2 x USP PortsProcessor: X-Reality ProAudio: DTS Digital SurroundSpecial Features: ClearAudio+, Cinematic S-Force Front SurroundOperating System: LinuxTuner: FreeviewPlayOverviewBe online instantly with one button YouTube™Go straight to YouTube™ and enjoy all your favourite videos. We have made YouTube™ faster than ever on this internet ready TV and included a YouTube™ button on the remote control for easy browsing.34High Dynamic Range for lifelike picturesWith High Dynamic Range (HDR), detail lost in the darkest and brightest areas of a picture are preserved, giving a much more dynamic look. See the textures in the shining metal wing of the airplane and the reflections of sunlight on the fuselage.5Rediscover every detail with X-Reality™ PROX-Reality™ PRO picture processing upscales every pixel for exceptional picture clarity. As frames are 
price: 249.97 
priceCurrency: GBP

###

brand: Logitech 
title: Logitech Z337 Bold Sound With Bluetooth 980-001263 
description: Logitech Z337 Bold Sound With Bluetooth 980-001263 
price: 161 
priceCurrency: AUD

###

Same product?", no,False,False,False
"title: EVO II Multi-Charging Hub 
description: Charging Hub for EVO II Series drones by Autel RoboticsThis multi-charger enables you toconnect up to 4 EVO batteries. There are two charging options available. Switching to Parallel Mode enables all connected batteries to rapidly charge simultaneously. When the batteries reach 80% power capacity, each battery than individually trickle-charges the remaining 20% to full capacity. The charger continually monitors the electrical data to help optimize charging. SPECSOperating Voltage:13.2 VOperating Temperature:41~104ºF (5º~45ºC )Charge Time:6 hr 30 min(4 batteries fully charged)IN THE BOXQty 1: Multi-Charge HubAll other components including charging wires sold separatelyVIDEOSACCESSORIESIntelligent Flight Battery AC Power and Charger DC Car Charger 
price: 8.9E1 
priceCurrency: USD","title: Autel Robotics EVO II 6K Gimbal Camera 
description: 6K Interchangeable Gimbal Camera for the Autel Robotics EVO II. The 1-inch sensor EVO II Pro camera captures 6K video up to 30fps. With an adjustable aperture from f/2.8 to f/11 and a max ISO of 12,800, pilots now have exceptional performance and flexibility in any shooting environment. 
price: 8.79E2 
priceCurrency: USD",False,"title: EVO II Multi-Charging Hub 
description: Charging Hub for EVO II Series drones by Autel RoboticsThis multi-charger enables you toconnect up to 4 EVO batteries. There are two charging options available. Switching to Parallel Mode enables all connected batteries to rapidly charge simultaneously. When the batteries reach 80% power capacity, each battery than individually trickle-charges the remaining 20% to full capacity. The charger continually monitors the electrical data to help optimize charging. SPECSOperating Voltage:13.2 VOperating Temperature:41~104ºF (5º~45ºC )Charge Time:6 hr 30 min(4 batteries fully charged)IN THE BOXQty 1: Multi-Charge HubAll other components including charging wires sold separatelyVIDEOSACCESSORIESIntelligent Flight Battery AC Power and Charger DC Car Charger 
price: 8.9E1 
priceCurrency: USD

###

title: Autel Robotics EVO II 6K Gimbal Camera 
description: 6K Interchangeable Gimbal Camera for the Autel Robotics EVO II. The 1-inch sensor EVO II Pro camera captures 6K video up to 30fps. With an adjustable aperture from f/2.8 to f/11 and a max ISO of 12,800, pilots now have exceptional performance and flexibility in any shooting environment. 
price: 8.79E2 
priceCurrency: USD

###

Same product?", no,True,False,True
"title: REMO BA011000 Ambassador Coated Drumhead, 10\ 
description: REMO BA011000 Ambassador Coated Drumhead, 10\The Ambassador Coated is the most popular drumhead in the world, featuring the perfect combination of warm, open tones with bright attack and controlled sustain. Constructed with 1-ply 10-mil Coated film, Ambassador Coated drumheads are the industry standard for all applications. Available in sizes 6\ - 40\.Available at Ken Stanton Music 
price: 14.99 
priceCurrency: USD","title: Remo Ambassador Coated Drum Heads 
description: The Ambassador Coated is the most popular Drumhead in the world, featuring the perfect combination of warm, open tones with bright attack and controlled sustain. Constructed with 1-ply 10-mil Coated film, AmbassadorCoated Drumheads are the industry standard for all applications. Available in sizes 6\ - 40\.SPECIFICATIONIdeal for Tom, Bass and Snare batter applicationsAvailable in sizes 6\ - 40\1-ply 10-mil Coated FilmThe worlds most popular 1-ply Coated DrumheadProvides bright attack and controlled sustain 
price: 1.375E1 
priceCurrency: GBP",True,"title: REMO BA011000 Ambassador Coated Drumhead, 10\ 
description: REMO BA011000 Ambassador Coated Drumhead, 10\The Ambassador Coated is the most popular drumhead in the world, featuring the perfect combination of warm, open tones with bright attack and controlled sustain. Constructed with 1-ply 10-mil Coated film, Ambassador Coated drumheads are the industry standard for all applications. Available in sizes 6\ - 40\.Available at Ken Stanton Music 
price: 14.99 
priceCurrency: USD

###

title: Remo Ambassador Coated Drum Heads 
description: The Ambassador Coated is the most popular Drumhead in the world, featuring the perfect combination of warm, open tones with bright attack and controlled sustain. Constructed with 1-ply 10-mil Coated film, AmbassadorCoated Drumheads are the industry standard for all applications. Available in sizes 6\ - 40\.SPECIFICATIONIdeal for Tom, Bass and Snare batter applicationsAvailable in sizes 6\ - 40\1-ply 10-mil Coated FilmThe worlds most popular 1-ply Coated DrumheadProvides bright attack and controlled sustain 
price: 1.375E1 
priceCurrency: GBP

###

Same product?", yes,False,True,True
"title: Buy Quality Replica Omega Speedmaster Professional SpeedyTuesday Ultraman Watch 311.12.42.30.01.001 
description: Quality AAA Replica Omega Speedmaster Professional SpeedyTuesday Ultraman Watch 311.12.42.30.01.001 from online store for sale.","brand: APC 
title: APC By Schneider Electric Smart-upsExternal Battery Pack Rack 
description: APC By Schneider Electric Smart-UPS External Battery Pack RackSmart-UPS External Battery Pack RackSmart-UPS External Battery Pack RackBattery Type:Lead-acid Voltage Output:120 V DC Battery Capacity:1200 VAh Battery Technology:TBD Header / Model:SMX120RMBP2U Features:26297.44 Hour to 43829.06 Hour; American Power Conversion Corp; 2 x Replacement Battery CartridgeSMX120RMBP2U External Battery PackInstallation GuideRack Mounting BracketsService & Support Type:2 years repair or replace RoHS:APC Smart-UPS:SMX2000RMLV2USMX2200RMHV2USMX2200RMLV2USMX3000RMHV2USMX3000RMHV2UNCSMX3000RMLV2USMX3000RMLV2UNCRoHS Energy Star Compliant:Y SMX120RMBP2U External Battery PackManufacturerAmerican Power Conversion CorpManufacturer Part NumberSMX120RMBP2UManufacturer Website Addresshttp://www.apc.comBrand NameAPCProduct ModelSMX120RMBP2UProduct NameSMX120RMBP2U External Battery PackProduct TypeExternal Battery PackBattery CharacteristicsSpill-proof/Maintenance-freeBattery ChemistrySealed Lead Ac
price: 749.99 
priceCurrency: USD",False,"title: Buy Quality Replica Omega Speedmaster Professional SpeedyTuesday Ultraman Watch 311.12.42.30.01.001 
description: Quality AAA Replica Omega Speedmaster Professional SpeedyTuesday Ultraman Watch 311.12.42.30.01.001 from online store for sale.

###

brand: APC 
title: APC By Schneider Electric Smart-upsExternal Battery Pack Rack 
description: APC By Schneider Electric Smart-UPS External Battery Pack RackSmart-UPS External Battery Pack RackSmart-UPS External Battery Pack RackBattery Type:Lead-acid Voltage Output:120 V DC Battery Capacity:1200 VAh Battery Technology:TBD Header / Model:SMX120RMBP2U Features:26297.44 Hour to 43829.06 Hour; American Power Conversion Corp; 2 x Replacement Battery CartridgeSMX120RMBP2U External Battery PackInstallation GuideRack Mounting BracketsService & Support Type:2 years repair or replace RoHS:APC Smart-UPS:SMX2000RMLV2USMX2200RMHV2USMX2200RMLV2USMX3000RMHV2USMX3000RMHV2UNCSMX3000RMLV2USMX3000RMLV2UNCRoHS Energy Star Compliant:Y SMX120RMBP2U External Battery PackManufacturerAmerican Power Conversion CorpManufacturer Part NumberSMX120RMBP2UManufacturer Website Addresshttp://www.apc.comBrand NameAPCProduct ModelSMX120RMBP2UProduct NameSMX120RMBP2U External Battery PackProduct TypeExternal Battery PackBattery CharacteristicsSpill-proof/Maintenance-freeBattery ChemistrySealed Lead Ac
price: 749.99 
priceCurrency: USD

###

Same product?", no,False,False,False
"title: Seagate Backup Plus Slim STHN2000406hard drive - 2 TB - USB 3.0 
description: Features mobile backup using the Seagate Mobile Backup AppProtect your stuff with easy, flexible backupsBack up from Facebook and Flickr and share to YouTubeEasy to share files between Windows and Mac computersUSB 3.0 plug-and-play with no bulky power supply adapters 
price: 68.96 
priceCurrency: GBP",title: Seagate Backup Plus Slim 2TB silber,False,"title: Seagate Backup Plus Slim STHN2000406hard drive - 2 TB - USB 3.0 
description: Features mobile backup using the Seagate Mobile Backup AppProtect your stuff with easy, flexible backupsBack up from Facebook and Flickr and share to YouTubeEasy to share files between Windows and Mac computersUSB 3.0 plug-and-play with no bulky power supply adapters 
price: 68.96 
priceCurrency: GBP

###

title: Seagate Backup Plus Slim 2TB silber

###

Same product?", no,True,True,True
"brand: Sunrace 
title: Sunrace Cassette Sunrace 8v 11-32 
description: chroom hg imitatie 
price: 14.95 
priceCurrency: EUR","brand: Sram 
title: Sram GX Eagle™ Kassette XG-1275 - 10-52T 1x12 fach lunar 
description: Sram GX Eagle™ Kassette XG-1275 - 10-52T 1x12 fach lunarXG-1275 Eagle™ CassetteThe new Sram GX Eagle Cassette with 520% Range.Ride anywhere with this wide range XG-1275, 10- to 52tooth Eagle™ cassette that provides the right gear. Fast on the flats. Control on the climbs. Dictate your own pace, anywhere. Only Eagle™ technology is the 1x drivetrain engineered for infinite freedom. FULL PIN™ technology uses lightweight, stamped steel cogs held together with high-strength stainless steel pins. The result: a cassette that's light and strong. The open design similar to our X-DOME™ cassette aids in mud clearance, giving you cleaner shifting performance and longer component life. New X-GLIDE™2 improves both inboard and outboard shifting, as well as chain retention.WEIGHT452gMATERIALStamped steelSPEEDS12COLORSLunarRECOMMENDED CHAINEagle™ chain onlySPROCKETS ON SPIDER12RECOMMENDED GROUPGX Eagle™COGS10-52t: 10t, 12t, 14t, 16t, 18t, 21t, 24t, 28t, 32t, 36t, 42t, 52t 
price: 176.90 
priceCurrency: EUR",False,"brand: Sunrace 
title: Sunrace Cassette Sunrace 8v 11-32 
description: chroom hg imitatie 
price: 14.95 
priceCurrency: EUR

###

brand: Sram 
title: Sram GX Eagle™ Kassette XG-1275 - 10-52T 1x12 fach lunar 
description: Sram GX Eagle™ Kassette XG-1275 - 10-52T 1x12 fach lunarXG-1275 Eagle™ CassetteThe new Sram GX Eagle Cassette with 520% Range.Ride anywhere with this wide range XG-1275, 10- to 52tooth Eagle™ cassette that provides the right gear. Fast on the flats. Control on the climbs. Dictate your own pace, anywhere. Only Eagle™ technology is the 1x drivetrain engineered for infinite freedom. FULL PIN™ technology uses lightweight, stamped steel cogs held together with high-strength stainless steel pins. The result: a cassette that's light and strong. The open design similar to our X-DOME™ cassette aids in mud clearance, giving you cleaner shifting performance and longer component life. New X-GLIDE™2 improves both inboard and outboard shifting, as well as chain retention.WEIGHT452gMATERIALStamped steelSPEEDS12COLORSLunarRECOMMENDED CHAINEagle™ chain onlySPROCKETS ON SPIDER12RECOMMENDED GROUPGX Eagle™COGS10-52t: 10t, 12t, 14t, 16t, 18t, 21t, 24t, 28t, 32t, 36t, 42t, 52t 
price: 176.90 
priceCurrency: EUR

###

Same product?", no,False,False,False
"title: Cooler Fan Cooler Master MasterFan MF200R RGB 200mm R4-200R-08FC-R1 
description: SpecificationsProduct Name MasterFan MF200R RGBProduct Number R4-200R-08FC-R1Profile RGBFan Speed (RPM) 800 ± 150Airflow (CFM) 90 ± 10%Air Pressure (mmH2O) 0.88Fan Noise Level (dBA) 28Dimensions (mm) 200 x 200 x 25 (7.9 x 7.9 x 1\)MTTF (hours) 175,000L-10 Life (hours) 25,000Rated Voltage 12 VDCSafety Current 0.3 AConnector 3-PinWeight 254 gWarranty 2 yearsEAN Code 4719512064788UPC Code 884102037450 
price: 116.91 
priceCurrency: BRL","title: Cooler Master MasterFan Cooling Fan 
description: The all new SF120M is Cooler Master's Flagship Case fan designed purely with performance in mind. It utilizes Cooler Master's Industrial Fan Structure, which decreases the flex of the fan blades while ensuring a quiet operation with maximum airflow. The Double-Ball Bearing decreases friction between the Fan and its bearings which further enhances the Fan/Blade performance ensuring a very long lifespan. The patented Damping Frame Design additionally increases stiffness of the overall Chassis and decreases Blade-Flex which further escalates the overall performance of the SF120M. Features: Patented Damping Frame Design- Absorbs unwanted vibration while maintaining its Chassis stiffness to ensure maximum performance. Double Ball-Bearings- Less friction means better performance and longevity. It will ensure a quiet yet high performance operation. Inter-Connecting Fan Blades - An Connected frame between the Fan-Blades Increase Airflow perforGeneral Information Manufacturer: Cool
price: 37.82 
priceCurrency: USD",False,"title: Cooler Fan Cooler Master MasterFan MF200R RGB 200mm R4-200R-08FC-R1 
description: SpecificationsProduct Name MasterFan MF200R RGBProduct Number R4-200R-08FC-R1Profile RGBFan Speed (RPM) 800 ± 150Airflow (CFM) 90 ± 10%Air Pressure (mmH2O) 0.88Fan Noise Level (dBA) 28Dimensions (mm) 200 x 200 x 25 (7.9 x 7.9 x 1\)MTTF (hours) 175,000L-10 Life (hours) 25,000Rated Voltage 12 VDCSafety Current 0.3 AConnector 3-PinWeight 254 gWarranty 2 yearsEAN Code 4719512064788UPC Code 884102037450 
price: 116.91 
priceCurrency: BRL

###

title: Cooler Master MasterFan Cooling Fan 
description: The all new SF120M is Cooler Master's Flagship Case fan designed purely with performance in mind. It utilizes Cooler Master's Industrial Fan Structure, which decreases the flex of the fan blades while ensuring a quiet operation with maximum airflow. The Double-Ball Bearing decreases friction between the Fan and its bearings which further enhances the Fan/Blade performance ensuring a very long lifespan. The patented Damping Frame Design additionally increases stiffness of the overall Chassis and decreases Blade-Flex which further escalates the overall performance of the SF120M. Features: Patented Damping Frame Design- Absorbs unwanted vibration while maintaining its Chassis stiffness to ensure maximum performance. Double Ball-Bearings- Less friction means better performance and longevity. It will ensure a quiet yet high performance operation. Inter-Connecting Fan Blades - An Connected frame between the Fan-Blades Increase Airflow perforGeneral Information Manufacturer: Cool
price: 37.82 
priceCurrency: USD

###

Same product?", no,True,True,False
